month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,9,1,44,46,0.19,0.23,0.51,0.1
3,9,1,45,46,0.19,0.24,0.51,0.1
3,9,1,46,46,0.19,0.24,0.51,0.09
3,9,1,47,46,0.18,0.24,0.51,0.09
3,9,1,48,46,0.18,0.24,0.51,0.1
3,9,1,49,46,0.18,0.24,0.51,0.09
3,9,1,50,46,0.18,0.24,0.51,0.1
3,9,1,51,47,0.18,0.24,0.51,0.09
3,9,1,52,47,0.2,0.25,0.51,0.1
3,9,1,53,47,0.18,0.24,0.51,0.09
3,9,1,54,47,0.18,0.27,0.51,0.09
3,9,1,55,47,0.18,0.37,0.52,0.09
3,9,1,56,47,0.18,0.45,0.52,0.09
3,9,1,57,47,0.18,0.47,0.52,0.09
3,9,1,58,47,0.18,0.45,0.52,0.09
3,9,1,59,47,0.18,0.42,0.52,0.09
3,9,2,0,47,0.18,0.28,0.52,0.1
3,9,2,1,47,0.18,0.28,0.52,0.09
3,9,2,2,47,0.18,0.26,0.52,0.12
3,9,2,3,47,0.18,0.25,0.52,0.09
3,9,2,4,47,0.18,0.25,0.52,0.1
3,9,2,5,47,0.18,0.25,0.52,0.1
3,9,2,6,47,0.18,0.25,0.52,0.1
3,9,2,7,47,0.18,0.25,0.52,0.1
3,9,2,8,47,0.18,0.25,0.52,0.1
3,9,2,9,47,0.18,0.26,0.52,0.1
3,9,2,10,47,0.18,0.26,0.52,0.1
3,9,2,11,48,0.18,0.25,0.52,0.13
3,9,2,12,48,0.18,0.25,0.52,0.13
3,9,2,13,48,0.2,0.27,0.52,0.15
3,9,2,14,48,0.18,0.26,0.52,0.14
3,9,2,15,48,0.18,0.26,0.52,0.15
3,9,2,16,48,0.18,0.31,0.52,0.15
3,9,2,17,48,0.18,0.37,0.52,0.14
3,9,2,18,48,0.18,0.37,0.52,0.14
3,9,2,19,48,0.18,0.29,0.52,0.13
3,9,2,20,48,0.18,0.3,0.52,0.13
3,9,2,21,48,0.18,0.3,0.52,0.12
3,9,2,22,48,0.18,0.31,0.52,0.12
3,9,2,23,48,0.18,0.31,0.52,0.15
3,9,2,24,48,0.18,0.29,0.52,0.12
3,9,2,25,48,0.18,0.3,0.52,0.12
3,9,2,26,48,0.18,0.31,0.52,0.11
3,9,2,27,48,0.18,0.29,0.52,0.11
3,9,2,28,48,0.18,0.29,0.52,0.11
3,9,2,29,48,0.18,0.31,0.52,0.1
3,9,2,30,48,0.18,0.36,0.52,0.1
