month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,7,20,19,18,0.29,0.46,0.53,0.15
3,7,20,20,18,0.29,0.47,0.53,0.14
3,7,20,21,18,0.29,0.47,0.53,0.14
3,7,20,22,18,0.29,0.45,0.54,0.13
3,7,20,23,18,0.29,0.45,0.54,0.13
3,7,20,24,18,0.29,0.44,0.54,0.13
3,7,20,25,18,0.29,0.45,0.54,0.12
3,7,20,26,18,0.31,0.45,0.54,0.13
3,7,20,27,18,0.29,0.45,0.54,0.12
3,7,20,28,18,0.29,0.44,0.54,0.12
3,7,20,29,18,0.29,0.43,0.54,0.12
3,7,20,30,18,0.29,0.42,0.54,0.12
3,7,20,31,18,0.29,0.41,0.54,0.12
3,7,20,32,19,0.29,0.42,0.54,0.12
3,7,20,33,19,0.29,0.42,0.54,0.12
3,7,20,34,19,0.29,0.41,0.54,0.13
3,7,20,35,19,0.29,0.41,0.54,0.14
3,7,20,36,19,0.29,0.42,0.54,0.16
3,7,20,37,19,0.29,0.41,0.54,0.14
3,7,20,38,19,0.29,0.42,0.54,0.14
3,7,20,39,19,0.29,0.42,0.54,0.14
3,7,20,40,19,0.29,0.42,0.54,0.15
3,7,20,41,19,0.29,0.42,0.54,0.16
3,7,20,42,19,0.29,0.41,0.54,0.17
3,7,20,43,19,0.29,0.42,0.54,0.17
3,7,20,44,19,0.29,0.42,0.52,0.15
3,7,20,45,19,0.28,0.4,0.52,0.15
3,7,20,46,19,0.28,0.4,0.52,0.15
3,7,20,47,19,0.29,0.41,0.53,0.14
3,7,20,48,19,0.29,0.4,0.54,0.14
3,7,20,49,19,0.29,0.41,0.54,0.13
3,7,20,50,19,0.29,0.41,0.54,0.13
3,7,20,51,19,0.29,0.38,0.54,0.13
3,7,20,52,20,0.29,0.38,0.54,0.13
3,7,20,53,20,0.29,0.37,0.54,0.12
3,7,20,54,20,0.29,0.38,0.54,0.12
3,7,20,55,20,0.29,0.34,0.54,0.12
3,7,20,56,20,0.29,0.35,0.54,0.12
3,7,20,57,20,0.29,0.34,0.54,0.12
3,7,20,58,20,0.28,0.34,0.54,0.12
3,7,20,59,20,0.28,0.34,0.54,0.12
3,7,21,0,20,0.28,0.34,0.54,0.12
3,7,21,1,20,0.28,0.32,0.54,0.12
3,7,21,2,20,0.28,0.33,0.54,0.12
3,7,21,3,20,0.28,0.32,0.54,0.13
3,7,21,4,20,0.28,0.33,0.54,0.14
3,7,21,5,20,0.28,0.33,0.54,0.14
3,7,21,6,20,0.28,0.34,0.54,0.14
3,7,21,7,20,0.32,0.34,0.54,0.16
3,7,21,8,20,0.28,0.32,0.54,0.14
3,7,21,9,20,0.28,0.32,0.54,0.14
3,7,21,10,20,0.28,0.3,0.54,0.14
3,7,21,11,20,0.28,0.3,0.54,0.13
3,7,21,12,21,0.28,0.32,0.54,0.13
3,7,21,13,21,0.28,0.31,0.54,0.13
3,7,21,14,21,0.28,0.32,0.54,0.12
3,7,21,15,21,0.28,0.3,0.54,0.12
3,7,21,16,21,0.28,0.33,0.54,0.12
3,7,21,17,21,0.28,0.31,0.54,0.16
3,7,21,18,21,0.28,0.3,0.54,0.12
3,7,21,19,21,0.28,0.31,0.54,0.12
3,7,21,20,21,0.28,0.31,0.54,0.11
3,7,21,21,21,0.28,0.35,0.54,0.11
3,7,21,22,21,0.28,0.4,0.54,0.11
3,7,21,23,21,0.28,0.43,0.54,0.11
3,7,21,24,21,0.28,0.67,0.55,0.12
3,7,21,25,21,0.28,0.55,0.54,0.12
3,7,21,26,21,0.29,0.75,0.55,0.12
3,7,21,27,21,0.29,0.75,0.55,0.12
3,7,21,28,21,0.29,0.86,0.55,0.12
3,7,21,29,21,0.29,0.82,0.55,0.13
3,7,21,30,21,0.29,0.85,0.55,0.16
3,7,21,31,21,0.29,0.85,0.55,0.17
3,7,21,32,22,0.29,0.86,0.55,0.17
3,7,21,33,22,0.29,0.87,0.55,0.16
3,7,21,34,22,0.29,0.88,0.55,0.16
3,7,21,35,22,0.29,0.88,0.55,0.15
3,7,21,36,22,0.28,0.87,0.55,0.14
3,7,21,37,22,0.28,0.89,0.55,0.13
3,7,21,38,22,0.3,0.89,0.55,0.14
3,7,21,39,22,0.28,0.89,0.55,0.13
3,7,21,40,22,0.28,0.9,0.55,0.12
3,7,21,41,22,0.28,0.9,0.55,0.12
3,7,21,42,22,0.29,0.89,0.56,0.12
3,7,21,43,22,0.28,0.89,0.56,0.12
3,7,21,44,22,0.28,0.89,0.56,0.11
3,7,21,45,22,0.28,0.9,0.56,0.11
3,7,21,46,22,0.28,0.9,0.56,0.11
