month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,7,5,36,34,0.21,0.95,0.34,0.13
3,7,5,37,34,0.21,0.95,0.35,0.13
3,7,5,38,34,0.21,0.95,0.35,0.13
3,7,5,39,34,0.21,0.95,0.35,0.13
3,7,5,40,34,0.21,0.95,0.35,0.13
3,7,5,41,34,0.21,0.95,0.35,0.13
3,7,5,42,34,0.21,0.95,0.34,0.14
3,7,5,43,34,0.21,0.95,0.34,0.14
3,7,5,44,34,0.21,0.95,0.34,0.14
3,7,5,45,34,0.21,0.95,0.34,0.14
3,7,5,46,34,0.21,0.95,0.34,0.13
3,7,5,47,34,0.21,0.95,0.34,0.13
3,7,5,48,34,0.21,0.95,0.34,0.13
3,7,5,49,34,0.21,0.95,0.34,0.13
3,7,5,50,34,0.21,0.95,0.35,0.14
3,7,5,51,34,0.21,0.95,0.35,0.14
3,7,5,52,34,0.21,0.95,0.35,0.13
3,7,5,53,35,0.24,0.94,0.36,0.16
3,7,5,54,35,0.21,0.95,0.35,0.14
3,7,5,55,35,0.21,0.95,0.35,0.14
3,7,5,56,35,0.21,0.95,0.35,0.14
3,7,5,57,35,0.21,0.95,0.35,0.14
3,7,5,58,35,0.21,0.95,0.35,0.14
3,7,5,59,35,0.21,0.95,0.36,0.14
3,7,6,0,35,0.21,0.95,0.36,0.14
3,7,6,1,35,0.21,0.95,0.36,0.14
3,7,6,2,35,0.21,0.95,0.36,0.13
3,7,6,3,35,0.21,0.95,0.36,0.13
3,7,6,4,35,0.22,0.94,0.36,0.13
3,7,6,5,35,0.22,0.95,0.36,0.13
3,7,6,6,35,0.22,0.95,0.36,0.13
3,7,6,7,35,0.22,0.96,0.37,0.13
3,7,6,8,35,0.22,0.96,0.37,0.14
3,7,6,9,35,0.22,0.96,0.37,0.14
3,7,6,10,35,0.22,0.95,0.37,0.14
3,7,6,11,35,0.22,0.96,0.37,0.14
3,7,6,12,35,0.22,0.96,0.37,0.14
3,7,6,13,36,0.22,0.96,0.37,0.13
3,7,6,14,36,0.26,0.95,0.39,0.16
3,7,6,15,36,0.22,0.96,0.37,0.13
3,7,6,16,36,0.22,0.96,0.37,0.13
3,7,6,17,36,0.22,0.96,0.37,0.14
3,7,6,18,36,0.22,0.96,0.37,0.14
3,7,6,19,36,0.22,0.96,0.37,0.14
3,7,6,20,36,0.22,0.96,0.37,0.14
3,7,6,21,36,0.22,0.96,0.37,0.14
3,7,6,22,36,0.22,0.96,0.37,0.13
3,7,6,23,36,0.22,0.96,0.38,0.13
3,7,6,24,36,0.22,0.96,0.38,0.13
3,7,6,25,36,0.21,0.96,0.38,0.14
3,7,6,26,36,0.21,0.96,0.38,0.14
3,7,6,27,36,0.21,0.96,0.38,0.14
3,7,6,28,36,0.21,0.96,0.38,0.13
3,7,6,29,36,0.21,0.96,0.38,0.13
