month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,9,9,6,8,0.18,0.32,0.51,0.18
3,9,9,7,8,0.18,0.32,0.5,0.13
3,9,9,8,8,0.18,0.32,0.5,0.13
3,9,9,9,8,0.18,0.32,0.5,0.13
3,9,9,10,8,0.19,0.32,0.5,0.13
3,9,9,11,8,0.19,0.32,0.5,0.13
3,9,9,12,8,0.18,0.32,0.5,0.13
3,9,9,13,9,0.18,0.32,0.5,0.13
3,9,9,14,9,0.18,0.32,0.5,0.13
3,9,9,15,9,0.18,0.32,0.5,0.13
3,9,9,16,9,0.18,0.33,0.5,0.13
3,9,9,17,9,0.24,0.35,0.5,0.16
3,9,9,18,9,0.18,0.33,0.5,0.13
3,9,9,19,9,0.18,0.33,0.5,0.14
3,9,9,20,9,0.18,0.33,0.49,0.14
3,9,9,21,9,0.18,0.33,0.49,0.15
3,9,9,22,9,0.18,0.33,0.49,0.14
3,9,9,23,9,0.18,0.33,0.49,0.14
3,9,9,24,9,0.18,0.33,0.49,0.13
3,9,9,25,9,0.18,0.33,0.49,0.13
3,9,9,26,9,0.18,0.33,0.49,0.13
3,9,9,27,9,0.18,0.33,0.49,0.13
3,9,9,28,9,0.18,0.33,0.49,0.13
3,9,9,29,9,0.18,0.33,0.49,0.12
3,9,9,30,9,0.18,0.33,0.48,0.12
3,9,9,31,9,0.18,0.33,0.49,0.12
3,9,9,32,9,0.18,0.33,0.49,0.12
3,9,9,33,10,0.18,0.33,0.48,0.12
3,9,9,34,10,0.18,0.33,0.48,0.12
3,9,9,35,10,0.18,0.33,0.48,0.12
3,9,9,36,10,0.18,0.33,0.48,0.12
3,9,9,37,10,0.18,0.33,0.48,0.12
3,9,9,38,10,0.19,0.33,0.5,0.16
3,9,9,39,10,0.19,0.33,0.48,0.12
3,9,9,40,10,0.19,0.33,0.48,0.12
3,9,9,41,10,0.19,0.33,0.48,0.12
3,9,9,42,10,0.19,0.33,0.48,0.12
3,9,9,43,10,0.19,0.33,0.48,0.12
3,9,9,44,10,0.18,0.33,0.48,0.12
3,9,9,45,10,0.18,0.33,0.48,0.12
3,9,9,46,10,0.19,0.33,0.48,0.12
3,9,9,47,10,0.18,0.33,0.48,0.12
3,9,9,48,10,0.18,0.34,0.48,0.11
3,9,9,49,10,0.18,0.33,0.48,0.11
3,9,9,50,10,0.18,0.33,0.48,0.11
3,9,9,51,10,0.19,0.33,0.48,0.12
3,9,9,52,10,0.18,0.33,0.47,0.12
3,9,9,53,11,0.18,0.33,0.48,0.12
