month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,7,12,57,56,0.31,0.33,0.49,0.1
3,7,12,58,56,0.31,0.33,0.49,0.1
3,7,12,59,56,0.34,0.34,0.49,0.12
3,7,13,0,56,0.31,0.33,0.49,0.1
3,7,13,1,56,0.31,0.33,0.49,0.1
3,7,13,2,56,0.31,0.33,0.49,0.11
3,7,13,3,56,0.31,0.33,0.49,0.11
3,7,13,4,56,0.3,0.33,0.49,0.11
3,7,13,5,56,0.3,0.33,0.49,0.11
3,7,13,6,56,0.3,0.33,0.5,0.11
3,7,13,7,56,0.3,0.33,0.49,0.12
3,7,13,8,56,0.3,0.33,0.5,0.13
3,7,13,9,56,0.3,0.33,0.5,0.13
3,7,13,10,56,0.3,0.33,0.5,0.13
3,7,13,11,56,0.3,0.34,0.5,0.12
3,7,13,12,57,0.3,0.34,0.5,0.12
3,7,13,13,57,0.3,0.34,0.5,0.12
3,7,13,14,57,0.3,0.34,0.5,0.12
3,7,13,15,57,0.3,0.34,0.5,0.11
3,7,13,16,57,0.3,0.35,0.5,0.11
3,7,13,17,57,0.3,0.36,0.5,0.11
3,7,13,18,57,0.3,0.35,0.5,0.11
3,7,13,19,57,0.3,0.36,0.5,0.11
3,7,13,20,57,0.3,0.37,0.5,0.11
3,7,13,21,57,0.29,0.37,0.5,0.11
3,7,13,22,57,0.29,0.38,0.5,0.11
3,7,13,23,57,0.29,0.39,0.5,0.11
3,7,13,24,57,0.29,0.4,0.5,0.11
3,7,13,25,57,0.29,0.41,0.5,0.11
3,7,13,26,57,0.29,0.42,0.5,0.11
3,7,13,27,57,0.29,0.42,0.5,0.1
3,7,13,28,57,0.29,0.43,0.5,0.1
3,7,13,29,57,0.29,0.44,0.5,0.1
3,7,13,30,57,0.31,0.45,0.5,0.12
3,7,13,31,57,0.29,0.45,0.5,0.1
3,7,13,32,58,0.29,0.45,0.5,0.1
3,7,13,33,58,0.29,0.45,0.5,0.11
3,7,13,34,58,0.29,0.46,0.5,0.1
3,7,13,35,58,0.29,0.46,0.5,0.1
3,7,13,36,58,0.29,0.46,0.5,0.11
3,7,13,37,58,0.29,0.47,0.5,0.11
3,7,13,38,58,0.29,0.47,0.5,0.13
3,7,13,39,58,0.29,0.47,0.5,0.13
3,7,13,40,58,0.29,0.47,0.51,0.15
3,7,13,41,58,0.29,0.47,0.5,0.13
3,7,13,42,58,0.29,0.47,0.5,0.12
3,7,13,43,58,0.29,0.48,0.5,0.11
3,7,13,44,58,0.29,0.48,0.5,0.11
3,7,13,45,58,0.29,0.48,0.5,0.11
3,7,13,46,58,0.29,0.48,0.5,0.1
3,7,13,47,58,0.29,0.48,0.5,0.1
3,7,13,48,58,0.29,0.49,0.5,0.1
3,7,13,49,58,0.3,0.5,0.5,0.1
3,7,13,50,58,0.3,0.47,0.5,0.1
3,7,13,51,58,0.29,0.47,0.5,0.1
3,7,13,52,59,0.29,0.48,0.5,0.11
3,7,13,53,59,0.29,0.47,0.5,0.11
3,7,13,54,59,0.29,0.48,0.5,0.11
3,7,13,55,59,0.29,0.48,0.5,0.11
3,7,13,56,59,0.29,0.48,0.5,0.11
3,7,13,57,59,0.29,0.48,0.5,0.12
3,7,13,58,59,0.29,0.48,0.5,0.12
3,7,13,59,59,0.29,0.48,0.5,0.12
3,7,14,0,59,0.29,0.47,0.5,0.11
3,7,14,1,59,0.29,0.48,0.5,0.11
3,7,14,2,59,0.29,0.48,0.5,0.12
3,7,14,3,59,0.29,0.48,0.5,0.12
3,7,14,4,59,0.29,0.46,0.5,0.12
3,7,14,5,59,0.29,0.46,0.5,0.11
3,7,14,6,59,0.29,0.46,0.5,0.11
3,7,14,7,59,0.29,0.44,0.5,0.11
3,7,14,8,59,0.29,0.43,0.5,0.11
3,7,14,9,59,0.29,0.4,0.5,0.11
3,7,14,10,59,0.29,0.39,0.5,0.1
3,7,14,11,59,0.29,0.4,0.51,0.12
3,7,14,13,0,0.29,0.34,0.5,0.1
3,7,14,14,0,0.29,0.34,0.5,0.1
3,7,14,15,0,0.29,0.34,0.5,0.1
3,7,14,16,0,0.29,0.34,0.5,0.1
3,7,14,17,0,0.29,0.34,0.5,0.11
3,7,14,18,0,0.29,0.34,0.5,0.1
3,7,14,19,0,0.29,0.34,0.5,0.1
3,7,14,20,0,0.29,0.34,0.5,0.11
