month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,8,18,23,24,0.23,0.24,0.51,0.1
3,8,18,24,24,0.23,0.23,0.52,0.1
3,8,18,25,24,0.23,0.23,0.51,0.1
3,8,18,26,24,0.23,0.23,0.51,0.1
3,8,18,27,24,0.23,0.3,0.52,0.1
3,8,18,28,24,0.25,0.38,0.52,0.11
3,8,18,29,24,0.23,0.4,0.52,0.1
3,8,18,30,24,0.23,0.47,0.52,0.1
3,8,18,31,24,0.23,0.49,0.52,0.1
3,8,18,32,25,0.23,0.49,0.51,0.11
3,8,18,33,25,0.23,0.47,0.52,0.11
3,8,18,34,25,0.23,0.47,0.52,0.11
3,8,18,35,25,0.23,0.46,0.52,0.13
3,8,18,36,25,0.23,0.46,0.52,0.14
3,8,18,37,25,0.23,0.45,0.52,0.16
3,8,18,38,25,0.27,0.46,0.53,0.19
3,8,18,39,25,0.23,0.46,0.53,0.17
3,8,18,40,25,0.23,0.44,0.53,0.16
3,8,18,41,25,0.23,0.42,0.53,0.16
3,8,18,42,25,0.23,0.42,0.53,0.15
3,8,18,43,25,0.23,0.4,0.53,0.14
3,8,18,44,25,0.23,0.37,0.52,0.14
3,8,18,45,25,0.23,0.35,0.52,0.13
3,8,18,46,25,0.23,0.24,0.52,0.13
3,8,18,47,25,0.23,0.24,0.52,0.13
3,8,18,48,25,0.23,0.24,0.52,0.16
3,8,18,49,25,0.22,0.23,0.52,0.12
3,8,18,50,25,0.23,0.23,0.52,0.12
3,8,18,51,25,0.22,0.24,0.52,0.12
3,8,18,52,26,0.23,0.24,0.51,0.12
3,8,18,53,26,0.22,0.24,0.51,0.11
3,8,18,54,26,0.22,0.25,0.52,0.11
3,8,18,55,26,0.22,0.25,0.52,0.11
3,8,18,56,26,0.22,0.25,0.52,0.11
3,8,18,57,26,0.22,0.27,0.51,0.11
3,8,18,58,26,0.22,0.24,0.51,0.11
3,8,18,59,26,0.22,0.25,0.52,0.11
3,8,19,0,26,0.22,0.24,0.51,0.11
3,8,19,1,26,0.22,0.24,0.51,0.11
3,8,19,2,26,0.22,0.24,0.52,0.11
3,8,19,3,26,0.22,0.24,0.52,0.1
3,8,19,4,26,0.22,0.24,0.52,0.1
