month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,8,11,2,2,0.24,0.31,0.49,0.16
3,8,11,3,2,0.28,0.33,0.5,0.17
3,8,11,4,2,0.25,0.3,0.49,0.14
3,8,11,5,2,0.24,0.3,0.49,0.14
3,8,11,6,2,0.24,0.29,0.49,0.14
3,8,11,7,2,0.25,0.29,0.49,0.13
3,8,11,8,2,0.25,0.29,0.49,0.13
3,8,11,9,2,0.25,0.28,0.49,0.12
3,8,11,10,2,0.25,0.28,0.49,0.12
3,8,11,11,2,0.25,0.27,0.49,0.12
3,8,11,12,3,0.25,0.27,0.49,0.11
3,8,11,13,3,0.25,0.26,0.49,0.11
3,8,11,14,3,0.25,0.26,0.49,0.11
3,8,11,15,3,0.25,0.25,0.49,0.1
3,8,11,16,3,0.25,0.25,0.49,0.1
3,8,11,17,3,0.25,0.25,0.49,0.1
3,8,11,18,3,0.25,0.24,0.49,0.1
3,8,11,19,3,0.25,0.24,0.49,0.11
3,8,11,20,3,0.25,0.24,0.49,0.11
3,8,11,21,3,0.25,0.23,0.49,0.11
3,8,11,22,3,0.25,0.23,0.49,0.12
3,8,11,23,3,0.25,0.22,0.49,0.12
3,8,11,24,3,0.29,0.25,0.49,0.14
3,8,11,25,3,0.25,0.22,0.49,0.13
3,8,11,26,3,0.25,0.21,0.49,0.13
3,8,11,27,3,0.25,0.21,0.5,0.12
3,8,11,28,3,0.25,0.21,0.5,0.12
3,8,11,29,3,0.25,0.2,0.5,0.12
3,8,11,30,3,0.25,0.2,0.5,0.12
3,8,11,31,3,0.25,0.2,0.5,0.12
3,8,11,32,4,0.25,0.2,0.5,0.12
3,8,11,33,4,0.25,0.2,0.5,0.12
3,8,11,34,4,0.25,0.21,0.49,0.11
3,8,11,35,4,0.25,0.22,0.49,0.11
3,8,11,36,4,0.25,0.22,0.5,0.1
3,8,11,37,4,0.25,0.22,0.5,0.1
3,8,11,38,4,0.24,0.23,0.5,0.11
3,8,11,39,4,0.24,0.22,0.5,0.11
3,8,11,40,4,0.24,0.22,0.49,0.1
3,8,11,41,4,0.25,0.22,0.49,0.1
3,8,11,42,4,0.25,0.21,0.5,0.11
3,8,11,43,4,0.25,0.21,0.49,0.11
3,8,11,44,4,0.25,0.21,0.49,0.11
3,8,11,45,4,0.28,0.23,0.49,0.12
3,8,11,46,4,0.25,0.21,0.49,0.11
3,8,11,47,4,0.24,0.21,0.49,0.11
3,8,11,48,4,0.25,0.21,0.49,0.11
3,8,11,49,4,0.24,0.21,0.49,0.12
3,8,11,50,4,0.25,0.2,0.49,0.12
3,8,11,51,4,0.25,0.2,0.5,0.13
3,8,11,52,5,0.25,0.19,0.5,0.13
3,8,11,53,5,0.25,0.18,0.5,0.13
3,8,11,54,5,0.25,0.18,0.49,0.13
3,8,11,55,5,0.25,0.19,0.49,0.13
3,8,11,56,5,0.25,0.19,0.49,0.13
3,8,11,57,5,0.25,0.18,0.49,0.13
3,8,11,58,5,0.25,0.18,0.48,0.13
3,8,11,59,5,0.25,0.18,0.49,0.12
3,8,12,0,5,0.25,0.18,0.48,0.12
3,8,12,1,5,0.25,0.18,0.49,0.12
3,8,12,2,5,0.25,0.18,0.49,0.12
3,8,12,3,5,0.25,0.18,0.49,0.12
3,8,12,4,5,0.25,0.18,0.5,0.12
3,8,12,5,5,0.24,0.18,0.5,0.11
3,8,12,6,5,0.28,0.2,0.5,0.12
3,8,12,7,5,0.25,0.18,0.5,0.1
3,8,12,8,5,0.25,0.18,0.5,0.1
3,8,12,9,5,0.24,0.18,0.49,0.1
3,8,12,10,5,0.25,0.18,0.48,0.1
3,8,12,11,5,0.25,0.17,0.49,0.1
3,8,12,12,6,0.24,0.18,0.49,0.1
3,8,12,13,6,0.24,0.18,0.49,0.1
3,8,12,14,6,0.24,0.18,0.49,0.1
3,8,12,15,6,0.24,0.18,0.49,0.1
3,8,12,16,6,0.24,0.17,0.5,0.1
3,8,12,17,6,0.24,0.17,0.5,0.1
3,8,12,18,6,0.25,0.17,0.5,0.1
3,8,12,19,6,0.24,0.17,0.5,0.1
3,8,12,20,6,0.24,0.17,0.5,0.11
3,8,12,21,6,0.25,0.17,0.5,0.11
3,8,12,22,6,0.25,0.17,0.5,0.12
3,8,12,23,6,0.25,0.17,0.5,0.13
3,8,12,24,6,0.24,0.17,0.5,0.13
3,8,12,25,6,0.25,0.17,0.49,0.13
3,8,12,26,6,0.25,0.17,0.49,0.14
3,8,12,27,6,0.27,0.2,0.49,0.15
3,8,12,28,6,0.25,0.17,0.49,0.13
3,8,12,29,6,0.25,0.17,0.49,0.13
3,8,12,30,6,0.25,0.17,0.49,0.13
3,8,12,31,6,0.24,0.17,0.49,0.13
3,8,12,32,7,0.24,0.17,0.48,0.13
3,8,12,33,7,0.25,0.17,0.48,0.13
3,8,12,34,7,0.25,0.17,0.49,0.12
3,8,12,35,7,0.24,0.17,0.5,0.12
3,8,12,36,7,0.25,0.17,0.52,0.12
3,8,12,37,7,0.24,0.17,0.52,0.12
3,8,12,38,7,0.24,0.18,0.52,0.12
3,8,12,39,7,0.24,0.22,0.52,0.12
3,8,12,40,7,0.24,0.2,0.52,0.12
3,8,12,41,7,0.24,0.19,0.51,0.12
3,8,12,42,7,0.24,0.19,0.52,0.11
3,8,12,43,7,0.24,0.18,0.51,0.11
3,8,12,44,7,0.24,0.18,0.51,0.11
3,8,12,45,7,0.24,0.18,0.51,0.11
3,8,12,46,7,0.25,0.18,0.52,0.11
3,8,12,47,7,0.24,0.18,0.51,0.11
3,8,12,48,7,0.26,0.19,0.51,0.12
3,8,12,49,7,0.24,0.17,0.51,0.1
3,8,12,50,7,0.24,0.17,0.51,0.11
3,8,12,51,7,0.25,0.17,0.51,0.11
3,8,12,52,8,0.24,0.17,0.51,0.11
3,8,12,53,8,0.25,0.18,0.51,0.11
3,8,12,54,8,0.24,0.18,0.51,0.11
3,8,12,55,8,0.25,0.17,0.51,0.11
3,8,12,56,8,0.24,0.17,0.51,0.11
3,8,12,57,8,0.24,0.17,0.51,0.11
3,8,12,58,8,0.24,0.17,0.51,0.15
3,8,12,59,8,0.24,0.17,0.51,0.12
3,8,13,0,8,0.24,0.17,0.51,0.11
3,8,13,1,8,0.24,0.17,0.51,0.11
3,8,13,2,8,0.24,0.16,0.51,0.12
3,8,13,3,8,0.24,0.16,0.51,0.13
3,8,13,4,8,0.24,0.16,0.5,0.14
3,8,13,5,8,0.24,0.17,0.5,0.14
3,8,13,6,8,0.24,0.16,0.5,0.14
3,8,13,7,8,0.24,0.16,0.5,0.14
3,8,13,8,8,0.24,0.16,0.5,0.14
3,8,13,9,8,0.27,0.19,0.5,0.15
3,8,13,10,8,0.24,0.16,0.5,0.13
3,8,13,11,8,0.24,0.16,0.5,0.13
3,8,13,12,9,0.24,0.16,0.5,0.13
3,8,13,13,9,0.24,0.16,0.5,0.13
3,8,13,14,9,0.24,0.15,0.5,0.13
3,8,13,15,9,0.24,0.15,0.5,0.13
3,8,13,16,9,0.24,0.15,0.5,0.12
3,8,13,17,9,0.25,0.15,0.5,0.12
3,8,13,18,9,0.24,0.15,0.49,0.12
3,8,13,19,9,0.24,0.15,0.49,0.12
3,8,13,20,9,0.24,0.15,0.49,0.12
3,8,13,21,9,0.24,0.15,0.49,0.12
3,8,13,22,9,0.24,0.15,0.49,0.12
3,8,13,23,9,0.24,0.15,0.49,0.12
3,8,13,24,9,0.24,0.15,0.49,0.11
3,8,13,25,9,0.24,0.15,0.49,0.11
3,8,13,26,9,0.24,0.15,0.5,0.11
3,8,13,27,9,0.24,0.15,0.5,0.1
3,8,13,28,9,0.24,0.15,0.5,0.1
3,8,13,29,9,0.24,0.15,0.49,0.1
3,8,13,30,9,0.26,0.17,0.49,0.12
3,8,13,31,9,0.24,0.14,0.5,0.11
3,8,13,32,10,0.25,0.14,0.5,0.11
3,8,13,33,10,0.25,0.14,0.5,0.12
3,8,13,34,10,0.25,0.14,0.49,0.13
3,8,13,35,10,0.25,0.14,0.49,0.13
3,8,13,36,10,0.25,0.14,0.49,0.13
