month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,8,3,40,40,0.27,0.26,0.48,0.13
3,8,3,41,40,0.26,0.27,0.48,0.13
3,8,3,42,40,0.29,0.28,0.49,0.15
3,8,3,43,40,0.27,0.26,0.48,0.13
3,8,3,44,40,0.27,0.26,0.49,0.13
3,8,3,45,40,0.26,0.26,0.49,0.12
3,8,3,46,40,0.26,0.26,0.49,0.12
3,8,3,47,40,0.26,0.26,0.49,0.11
3,8,3,48,40,0.27,0.26,0.49,0.11
3,8,3,49,40,0.26,0.26,0.49,0.11
3,8,3,50,40,0.26,0.26,0.49,0.11
3,8,3,51,41,0.26,0.26,0.48,0.11
3,8,3,52,41,0.26,0.26,0.48,0.16
3,8,3,53,41,0.26,0.26,0.48,0.11
3,8,3,54,41,0.26,0.26,0.48,0.11
3,8,3,55,41,0.27,0.27,0.48,0.13
3,8,3,56,41,0.27,0.26,0.48,0.14
3,8,3,57,41,0.27,0.26,0.48,0.14
3,8,3,58,41,0.27,0.26,0.48,0.15
3,8,3,59,41,0.27,0.27,0.48,0.17
3,8,4,0,41,0.27,0.26,0.48,0.17
3,8,4,1,41,0.27,0.26,0.48,0.17
3,8,4,2,41,0.27,0.28,0.48,0.17
3,8,4,3,41,0.29,0.3,0.49,0.17
3,8,4,4,41,0.27,0.29,0.49,0.16
3,8,4,5,41,0.27,0.3,0.49,0.15
3,8,4,6,41,0.27,0.3,0.49,0.15
3,8,4,7,41,0.27,0.29,0.48,0.14
3,8,4,8,41,0.27,0.3,0.49,0.14
3,8,4,9,41,0.27,0.3,0.49,0.14
3,8,4,10,41,0.27,0.3,0.49,0.14
3,8,4,11,42,0.27,0.31,0.49,0.13
3,8,4,12,42,0.27,0.3,0.49,0.13
3,8,4,13,42,0.27,0.29,0.49,0.13
3,8,4,14,42,0.28,0.31,0.49,0.13
3,8,4,15,42,0.28,0.31,0.48,0.13
3,8,4,16,42,0.28,0.31,0.48,0.13
3,8,4,17,42,0.28,0.3,0.48,0.13
3,8,4,18,42,0.28,0.3,0.48,0.13
3,8,4,19,42,0.28,0.3,0.48,0.13
3,8,4,20,42,0.28,0.3,0.48,0.13
3,8,4,21,42,0.28,0.3,0.48,0.13
3,8,4,22,42,0.28,0.3,0.49,0.13
3,8,4,23,42,0.28,0.3,0.49,0.13
3,8,4,24,42,0.3,0.3,0.48,0.13
3,8,4,25,42,0.28,0.28,0.49,0.12
3,8,4,26,42,0.28,0.28,0.48,0.13
3,8,4,27,42,0.28,0.29,0.47,0.13
3,8,4,28,42,0.28,0.29,0.47,0.14
3,8,4,29,42,0.28,0.28,0.48,0.15
3,8,4,30,42,0.28,0.27,0.47,0.15
3,8,4,31,43,0.28,0.28,0.47,0.15
3,8,4,32,43,0.28,0.28,0.47,0.16
3,8,4,33,43,0.28,0.28,0.48,0.16
3,8,4,34,43,0.28,0.28,0.48,0.21
3,8,4,35,43,0.28,0.28,0.48,0.16
3,8,4,36,43,0.29,0.29,0.48,0.16
3,8,4,37,43,0.29,0.28,0.48,0.16
3,8,4,38,43,0.29,0.26,0.49,0.17
3,8,4,39,43,0.28,0.25,0.47,0.17
3,8,4,40,43,0.28,0.25,0.49,0.17
3,8,4,41,43,0.28,0.25,0.48,0.17
3,8,4,42,43,0.28,0.25,0.48,0.16
3,8,4,43,43,0.28,0.26,0.48,0.15
