month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,6,22,16,11,0.33,0.4,0.36,0.23
3,6,22,17,11,0.32,0.39,0.35,0.23
3,6,22,18,11,0.31,0.39,0.34,0.22
3,6,22,19,11,0.3,0.38,0.33,0.21
3,6,22,20,11,0.29,0.38,0.33,0.21
3,6,22,21,11,0.28,0.38,0.33,0.21
3,6,22,22,12,0.28,0.37,0.33,0.2
3,6,22,23,12,0.27,0.37,0.33,0.19
3,6,22,24,12,0.3,0.38,0.35,0.2
3,6,22,25,12,0.26,0.36,0.34,0.17
3,6,22,26,12,0.26,0.36,0.34,0.17
3,6,22,27,12,0.25,0.36,0.34,0.17
3,6,22,28,12,0.25,0.36,0.34,0.17
3,6,22,29,12,0.25,0.36,0.34,0.17
3,6,22,30,12,0.24,0.36,0.34,0.16
3,6,22,31,12,0.24,0.36,0.33,0.16
3,6,22,32,12,0.24,0.36,0.29,0.16
3,6,22,33,12,0.23,0.36,0.3,0.15
3,6,22,34,12,0.23,0.36,0.29,0.18
3,6,22,35,12,0.23,0.36,0.29,0.15
3,6,22,36,12,0.23,0.36,0.29,0.15
3,6,22,37,12,0.23,0.36,0.29,0.15
3,6,22,38,12,0.23,0.36,0.29,0.15
3,6,22,39,12,0.23,0.36,0.29,0.15
3,6,22,40,12,0.23,0.36,0.29,0.15
3,6,22,41,12,0.23,0.36,0.28,0.15
3,6,22,42,13,0.22,0.36,0.28,0.15
3,6,22,43,13,0.22,0.36,0.28,0.15
3,6,22,44,13,0.22,0.36,0.28,0.15
3,6,22,45,13,0.22,0.36,0.28,0.15
3,6,22,46,13,0.22,0.36,0.28,0.15
3,6,22,47,13,0.22,0.36,0.28,0.15
3,6,22,48,13,0.22,0.36,0.28,0.15
3,6,22,49,13,0.22,0.36,0.28,0.15
3,6,22,50,13,0.22,0.36,0.27,0.16
3,6,22,51,13,0.22,0.36,0.27,0.16
3,6,22,52,13,0.22,0.36,0.27,0.16
3,6,22,53,13,0.22,0.36,0.27,0.16
3,6,22,54,13,0.22,0.33,0.27,0.15
3,6,22,55,13,0.24,0.37,0.28,0.16
3,6,22,56,13,0.23,0.34,0.27,0.11
3,6,22,57,13,0.23,0.36,0.26,0.13
3,6,22,58,13,0.23,0.35,0.27,0.14
3,6,22,59,13,0.23,0.35,0.27,0.14
3,6,23,0,13,0.23,0.35,0.26,0.13
3,6,23,1,13,0.23,0.35,0.26,0.13
3,6,23,2,14,0.23,0.34,0.26,0.13
3,6,23,3,14,0.23,0.34,0.26,0.13
3,6,23,4,14,0.23,0.34,0.26,0.13
3,6,23,5,14,0.23,0.37,0.25,0.15
3,6,23,6,14,0.23,0.34,0.23,0.13
3,6,23,7,14,0.23,0.34,0.25,0.12
3,6,23,8,14,0.23,0.3,0.24,0.12
3,6,23,9,14,0.22,0.31,0.25,0.12
3,6,23,10,14,0.23,0.29,0.25,0.12
3,6,23,11,14,0.23,0.29,0.25,0.12
3,6,23,12,14,0.23,0.29,0.25,0.13
3,6,23,13,14,0.23,0.29,0.25,0.12
3,6,23,14,14,0.24,0.29,0.27,0.12
3,6,23,15,14,0.23,0.29,0.27,0.12
3,6,23,16,14,0.23,0.26,0.27,0.13
3,6,23,17,14,0.23,0.26,0.26,0.11
3,6,23,18,14,0.23,0.26,0.27,0.12
3,6,23,19,14,0.23,0.27,0.27,0.12
3,6,23,20,14,0.23,0.27,0.27,0.12
3,6,23,21,15,0.23,0.26,0.26,0.12
3,6,23,22,15,0.23,0.26,0.26,0.12
3,6,23,23,15,0.23,0.26,0.26,0.12
3,6,23,24,15,0.23,0.26,0.26,0.12
3,6,23,25,15,0.23,0.26,0.26,0.12
3,6,23,26,15,0.23,0.27,0.28,0.12
3,6,23,27,15,0.23,0.27,0.28,0.12
3,6,23,28,15,0.23,0.27,0.27,0.12
3,6,23,29,15,0.23,0.27,0.27,0.12
3,6,23,30,15,0.23,0.27,0.27,0.12
3,6,23,31,15,0.23,0.27,0.27,0.12
3,6,23,32,15,0.23,0.26,0.27,0.12
3,6,23,33,15,0.23,0.27,0.27,0.12
3,6,23,34,15,0.23,0.27,0.27,0.12
3,6,23,35,15,0.23,0.27,0.26,0.12
3,6,23,36,15,0.25,0.29,0.28,0.13
3,6,23,37,15,0.23,0.28,0.26,0.11
3,6,23,38,15,0.23,0.28,0.26,0.11
3,6,23,39,15,0.23,0.28,0.26,0.12
3,6,23,40,15,0.23,0.28,0.27,0.12
3,6,23,41,16,0.23,0.28,0.27,0.11
3,6,23,42,16,0.23,0.28,0.27,0.12
3,6,23,43,16,0.23,0.28,0.26,0.11
3,6,23,44,16,0.23,0.28,0.27,0.11
3,6,23,45,16,0.23,0.28,0.28,0.11
3,6,23,46,16,0.23,0.28,0.29,0.14
3,6,23,47,16,0.23,0.28,0.27,0.11
3,6,23,48,16,0.23,0.29,0.28,0.11
3,6,23,49,16,0.23,0.29,0.27,0.11
3,6,23,50,16,0.23,0.29,0.27,0.11
3,6,23,51,16,0.23,0.29,0.28,0.11
3,6,23,52,16,0.23,0.29,0.28,0.11
3,6,23,53,16,0.23,0.29,0.28,0.11
3,6,23,54,16,0.23,0.29,0.28,0.11
3,6,23,55,16,0.23,0.29,0.27,0.11
3,6,23,56,16,0.23,0.3,0.29,0.11
3,6,23,57,16,0.23,0.3,0.28,0.11
3,6,23,58,16,0.22,0.3,0.28,0.11
3,6,23,59,16,0.22,0.3,0.28,0.11
3,7,0,0,16,0.23,0.31,0.29,0.11
3,7,0,1,17,0.23,0.31,0.27,0.11
3,7,0,2,17,0.22,0.31,0.29,0.11
3,7,0,3,17,0.22,0.32,0.29,0.11
3,7,0,4,17,0.22,0.33,0.29,0.11
3,7,0,5,17,0.22,0.33,0.29,0.11
3,7,0,6,17,0.22,0.33,0.28,0.11
3,7,0,7,17,0.25,0.32,0.29,0.13
3,7,0,8,17,0.22,0.3,0.29,0.11
3,7,0,9,17,0.22,0.32,0.29,0.11
3,7,0,10,17,0.22,0.32,0.29,0.11
3,7,0,11,17,0.22,0.32,0.28,0.11
3,7,0,12,17,0.22,0.31,0.3,0.11
3,7,0,13,17,0.22,0.3,0.3,0.11
3,7,0,14,17,0.22,0.32,0.3,0.11
3,7,0,15,17,0.22,0.31,0.3,0.11
3,7,0,16,17,0.22,0.31,0.29,0.11
3,7,0,17,17,0.22,0.3,0.3,0.11
3,7,0,18,17,0.22,0.3,0.31,0.1
3,7,0,19,17,0.22,0.3,0.29,0.11
3,7,0,20,18,0.22,0.3,0.29,0.1
3,7,0,21,18,0.21,0.3,0.31,0.11
3,7,0,22,18,0.21,0.3,0.3,0.1
3,7,0,23,18,0.21,0.3,0.3,0.11
3,7,0,24,18,0.21,0.3,0.31,0.1
3,7,0,25,18,0.21,0.3,0.3,0.11
3,7,0,26,18,0.21,0.3,0.31,0.11
3,7,0,27,18,0.21,0.3,0.3,0.11
3,7,0,28,18,0.24,0.32,0.31,0.12
3,7,0,29,18,0.21,0.3,0.3,0.11
3,7,0,30,18,0.21,0.3,0.3,0.11
3,7,0,31,18,0.21,0.32,0.3,0.11
3,7,0,32,18,0.21,0.32,0.3,0.11
3,7,0,33,18,0.21,0.32,0.3,0.1
3,7,0,34,18,0.21,0.33,0.3,0.1
3,7,0,35,18,0.21,0.33,0.3,0.11
3,7,0,36,18,0.21,0.33,0.3,0.11
3,7,0,37,18,0.21,0.33,0.3,0.11
3,7,0,38,18,0.21,0.33,0.31,0.14
3,7,0,39,18,0.21,0.32,0.31,0.1
3,7,0,40,19,0.21,0.32,0.3,0.1
3,7,0,41,19,0.21,0.33,0.3,0.1
3,7,0,42,19,0.21,0.32,0.32,0.1
3,7,0,43,19,0.21,0.33,0.31,0.1
3,7,0,44,19,0.21,0.33,0.3,0.1
3,7,0,45,19,0.21,0.32,0.3,0.1
3,7,0,46,19,0.21,0.32,0.3,0.1
3,7,0,47,19,0.21,0.31,0.3,0.1
3,7,0,48,19,0.21,0.31,0.3,0.1
3,7,0,49,19,0.23,0.32,0.31,0.12
3,7,0,50,19,0.21,0.32,0.3,0.1
3,7,0,51,19,0.21,0.32,0.31,0.1
3,7,0,52,19,0.21,0.32,0.31,0.1
3,7,0,53,19,0.21,0.32,0.31,0.1
3,7,0,54,19,0.21,0.31,0.31,0.1
3,7,0,55,19,0.21,0.31,0.31,0.1
3,7,0,56,19,0.21,0.31,0.31,0.1
3,7,0,57,19,0.21,0.31,0.31,0.1
3,7,0,58,19,0.21,0.31,0.31,0.1
3,7,0,59,19,0.21,0.31,0.33,0.13
3,7,1,0,20,0.21,0.31,0.3,0.1
3,7,1,1,20,0.21,0.31,0.31,0.1
3,7,1,2,20,0.2,0.31,0.31,0.1
3,7,1,3,20,0.2,0.31,0.31,0.1
3,7,1,4,20,0.21,0.31,0.31,0.1
3,7,1,5,20,0.21,0.32,0.31,0.1
3,7,1,6,20,0.2,0.33,0.31,0.1
3,7,1,7,20,0.2,0.36,0.31,0.1
3,7,1,8,20,0.21,0.38,0.31,0.1
3,7,1,9,20,0.2,0.39,0.31,0.1
3,7,1,10,20,0.23,0.39,0.32,0.11
3,7,1,11,20,0.2,0.38,0.31,0.1
3,7,1,12,20,0.21,0.38,0.31,0.1
3,7,1,13,20,0.2,0.36,0.31,0.1
3,7,1,14,20,0.21,0.33,0.31,0.1
3,7,1,15,20,0.2,0.38,0.31,0.1
3,7,1,16,20,0.21,0.38,0.31,0.1
3,7,1,17,20,0.2,0.34,0.31,0.1
3,7,1,18,20,0.21,0.37,0.31,0.1
3,7,1,19,20,0.2,0.37,0.31,0.1
3,7,1,20,21,0.21,0.38,0.31,0.13
3,7,1,21,21,0.2,0.38,0.31,0.1
3,7,1,22,21,0.2,0.33,0.31,0.1
3,7,1,23,21,0.2,0.34,0.31,0.1
3,7,1,24,21,0.21,0.37,0.31,0.1
3,7,1,25,21,0.21,0.38,0.31,0.1
3,7,1,26,21,0.21,0.39,0.31,0.1
3,7,1,27,21,0.21,0.36,0.31,0.11
3,7,1,28,21,0.21,0.37,0.31,0.12
3,7,1,29,21,0.21,0.37,0.32,0.12
3,7,1,30,21,0.2,0.37,0.31,0.11
3,7,1,31,21,0.23,0.37,0.32,0.12
3,7,1,32,21,0.21,0.34,0.31,0.11
3,7,1,33,21,0.21,0.4,0.31,0.11
3,7,1,34,21,0.21,0.37,0.32,0.11
3,7,1,35,21,0.21,0.38,0.31,0.1
3,7,1,36,21,0.21,0.37,0.32,0.11
3,7,1,37,21,0.21,0.37,0.32,0.11
3,7,1,38,21,0.2,0.39,0.32,0.11
3,7,1,39,21,0.21,0.37,0.32,0.11
3,7,1,40,22,0.2,0.38,0.31,0.11
3,7,1,41,22,0.2,0.41,0.34,0.13
3,7,1,42,22,0.2,0.39,0.31,0.11
3,7,1,43,22,0.2,0.39,0.31,0.11
3,7,1,44,22,0.21,0.38,0.32,0.11
